N,Time
2,1.1e-05
4,1.4e-05
8,3.3e-05
16,0.000106
32,0.000355
64,0.001314
128,0.005075
256,0.023103
512,0.100397
1024,0.432966
2048,1.687702
4096,7.064527
8192,27.29907
16384,114.126214
32768,443.437157
65536,1832.742844
131072,7075.591433
