N,Time
2,0.002167
4,0.000116
8,0.000104
16,0.000115
32,0.000134
64,0.000184
128,0.000272
256,0.000461
512,0.00084
1024,0.001614
2048,0.003137
4096,0.00628
8192,0.012329
16384,0.025068
32768,0.051074
65536,0.101264
131072,0.209115
262144,0.417672
524288,0.846936
1048576,1.690608
2097152,3.417172
4194304,6.87047
8388608,13.657956
16777216,27.707847
33554432,57.187006
67108864,116.630748
134217728,239.014338
268435456,497.648583
536870912,1040.869985
