N,Time
2,2.2e-05
4,5.6e-05
8,0.000155
16,0.000502
32,0.00126
64,0.00386
128,0.010607
256,0.03205
512,0.095569
1024,0.293721
2048,0.876673
4096,2.636747
8192,7.947672
16384,24.011455
32768,72.741774
65536,218.627136
131072,658.752767
262144,1980.787618
524288,6025.807447
1048576,18320.326227
